product_name,brand,series,model,screen_size,screen_resolution,screen_type,cpu,gpu,ram,storage,os,price,image_url,product_url
"MSI Thin 15 B13UDX-3258XFR FHD 15.6"" IPS | Intel i5-13420H | RTX 3050 | 8GB Ram | 512 GB NVMe",MSI,Thin,15 B13UDX-3258XFR FHD,"15.6""",FHD,IPS,Intel core I5-13420H,RTX 3050,8 GB,512 GB SSD,Windows 11 Home,2 399 DT,"https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1758723652852.webp&w=640&q=75",'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/PC-PORTABLE-MSI-Thin-15-B13UDX-3258XFR-FHD-15-6-IPS-Intel-i5-13420H-RTX-3050-8GB-Ram-512-GB-NVMe-TUNISIE
"Lenovo LOQ 15IAX9 15.6"" FHD IPS | i5-12450HX | RTX 2050 | 24GB Ram | 512GB NVMe | Windows 11 Home",Lenovo,LOQ,15IAX9,"15.6""",FHD,IPS,Intel core I5-12450HX,RTX 2050,24 GB,512 GB SSD,Windows 11 Home,2335 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1758377687463.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Lenovo-LOQ-15IAX9-15-6-FHD-IPS-i5-12450HX-RTX-2050-24GB-Ram-512GB-NVMe-Windows-11-Home
"MSI Thin 15 B13UDX-3258XFR FHD 15.6"" IPS | Intel i5-13420H | RTX 3050 | 16GB Ram | 512 GB NVMe",MSI,Thin,15 B13UDX-3258XFR FHD,"15.6""",FHD,IPS,Intel core I5-13420H,RTX 3050,16 GB,512 GB SSD,Windows 11 Home,2 455 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1758724184559.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/PC-PORTABLE-MSI-Thin-15-B13UDX-3258XFR-FHD-15-6-IPS-Intel-i5-13420H-RTX-3050-16GB-Ram-512-GB-NVMe-TUNISIE
ASUS V16 V3607VJ-RP086 | Intel 5-210H | RTX 3050 | 8 GB | 512 GB SSD,ASUS,V16,V3607VJ-RP086,15.6,FHD,IPS,Intel Ultra core 5 210H,RTX 3050,8 GB,512 GB SSD,Windows 11 Home,2379 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1750761119463.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/ASUS-V16-V3607VJ-RP086-Intel-I5-210H-RTX-3050-8-GB-512-GB-SSD-16-FHD-144Hz
"MSI Thin 15 B13UDX-3258XFR FHD 15.6"" IPS | Intel i5-13420H | RTX 3050 | 32GB Ram | 512 GB NVMe",MSI,Thin,15 B13UDX-3258XFR FHD,"15.6""",FHD,IPS,Intel core I5-13420H,RTX 3050,32 GB,512 GB SSD,Windows 11 Home,2 535 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1758724538106.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/PC-PORTABLE-MSI-Thin-15-B13UDX-3258XFR-FHD-15-6-IPS-Intel-i5-13420H-RTX-3050-32GB-Ram-512-GB-NVMe-TUNISIE
ASUS V16 V3607VJ-RP086 | Intel 5-210H | RTX 3050 | 16 GB | 512 GB SSD,ASUS,V16,V3607VJ-RP086,15.6,FHD,IPS,Intel Ultra core 5 210H,RTX 3050,16 GB,512 GB SSD,Windows 11 Home,2449 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1750761230882.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/ASUS-V16-V3607VJ-RP086-Intel-5-210H-RTX-3050-16-GB-512-GB-SSD
"DELL G15 5530 | 15.6"" | i5- 13450HX | RTX 3050 | 16GB RAM | 512GB SSD",DELL,G15,5530,15.6,FHD,IPS,Intel core i5- 13450HX,RTX 3050,16 GB,512 GB SSD,Windows 11 Home,2459 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1759492858517.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/DELL-G15-5530
Msi Thin 15 B13UCX FHD | Intel Core i7-13620H | RTX 2050 | 8 GB | 512 SSD,MSI,Thin,15 B13UCX FHD,15.6,FHD,IPS,Intel core i7-13620H,RTX 2050,8 GB,512 GB SSD,Windows 11 Home,2389 DT,"https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1730807311442.webp&w=640&q=75",'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Msi-Thin-15-FHD-Intel-Core-i7-13620H-RTX-2050-8-Go-512-SSD
Msi Thin 15 B13UCX FHD | Intel Core i7-13620H | RTX 2050 | 16 GB | 512 SSD,MSI,Thin,15 B13UCX FHD,15.6,FHD,IPS,Intel core i7-13620H,RTX 2050,16 GB,512 GB SSD,Windows 11 Home,2425 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1730808160113.png&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Msi-Thin-15-B13UCX-FHD-Intel-Core-i7-13620H-RTX-2050-16-Go-512-SSD
Msi Thin 15 B13UCX FHD | Intel Core i7-13620H | RTX 2050 | 24 GB | 512 SSD,MSI,Thin,15 B13UCX FHD,15.6,FHD,IPS,Intel core i7-13620H,RTX 2050,24 GB,512 GB SSD,Windows 11 Home,2499 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1730997550323.png&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Msi-Thin-15-B13UCX-FHD-Intel-Core-i7-13620H-RTX-2050-24-Go-512-SSD
